displayName.text,primaryTypeDisplayName.text,shortFormattedAddress,rating,userRatingCount,googleMapsUri,websiteUri
BYBLOS - Authentic Turkish & Lebanese cuisine,Turkish restaurant,"14 Bussorah St, Singapore",4.5,1446,https://maps.google.com/?cid=9732424782135495845,https://byblosgrillsg.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb
Coconut Chicken Singapore 椰子鸡新加坡,Restaurant,"6 Tan Quee Lan St, Singapore",4.3,253,https://maps.google.com/?cid=14543120467445659417,
Cappadocia Turkish & Mediterranean Restaurant,Turkish restaurant,"69 Bussorah St, Singapore",4.8,6961,https://maps.google.com/?cid=4587386464054006085,https://cappadocia-turkish-mediterranean.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink
The Coconut Club,Restaurant,"269 Beach Rd, Singapore",4.2,2567,https://maps.google.com/?cid=10906972576051512158,https://www.thecoconutclub.sg/
Flutes,Restaurant,"120 Beach Rd, #01-02 Guoco Midtown House, Singapore",4.6,573,https://maps.google.com/?cid=18311956496111441562,http://www.flutes.com.sg/?utm_source=google&utm_medium=organic&utm_campaign=gmb
Thailicious Boat Noodles - Singapore,Thai restaurant,"8 Liang Seah St, #01-01, Singapore",3.9,453,https://maps.google.com/?cid=17521518263746082639,
Si Chuan Dou Hua Restaurant - Beach Road,Chinese restaurant,"7500 Beach Rd, Singapore",4.2,711,https://maps.google.com/?cid=6543502942296377658,https://www.panpacific.com/en/hotels-and-resorts/pr-beach-road/dining/si-chuan-dou-hua-restaurant.html?utm_source=google&utm_medium=business_listing&utm_campaign=googlemybusiness
Habibi-san,Bar,"55 Haji Ln, Singapore",4.6,165,https://maps.google.com/?cid=14438755619839771931,https://www.facebook.com/habibisansg/
Grill Ninety Nine,Restaurant,"142 Arab St, Singapore",4.2,702,https://maps.google.com/?cid=18007748151433812273,https://grillninetynine.com.sg/
Jin Jin Eating House 金金餐室,Restaurant,"530 North Bridge Rd, #01-01, Singapore",4.2,398,https://maps.google.com/?cid=6921802785078906509,
The Gong by Drinks&Co. @ DUO Galleria,Restaurant,"7 Fraser St, #01-59 & 60 Duo Galleria, Singapore",4.4,277,https://maps.google.com/?cid=8213775872824762483,https://drinksandco.asia/pages/thegong-dg
Tash Tish Tosh @ 50K,Restaurant,"50 Kandahar St, Singapore",4.3,858,https://maps.google.com/?cid=13705180003894096279,https://www.tashtishtosh.com/
The Malayan Council - Bussorah,Restaurant,"71 Bussorah St, Singapore",4.5,2232,https://maps.google.com/?cid=7246123564849934359,https://themalayancouncil.sg/
TAAN IZA-BAR,Japanese restaurant,"1 Liang Seah St, #01-03/04 Liang Seah Place, Singapore",4.1,183,https://maps.google.com/?cid=10412882513708102167,https://www.taansg.com/taan-iza-bar
Vogue Vibe Bar & Cafe,Restaurant,"34 Middle Rd, #01-55, Singapore",4.7,59,https://maps.google.com/?cid=11976739923917282431,https://vvbarcafe.sg/
MADD PIZZA,Restaurant,"19 Haji Ln, Singapore",4.5,371,https://maps.google.com/?cid=10244205737376798519,https://maddpizza.sg/
TEMPT,Restaurant,"31 Purvis St, Singapore",4.7,63,https://maps.google.com/?cid=14764917313858887068,http://tempt.sg/
Chef China 华厨,Chinese restaurant,"101 Beach Rd, #01-01, Singapore",4.1,606,https://maps.google.com/?cid=9486025103616837130,https://icchc.meuu.online/?utm_source=3
Box n Sticks @ Kandahar,Japanese restaurant,"28 Kandahar St, Singapore",4.4,413,https://maps.google.com/?cid=16115510367325991607,https://www.boxnsticks.com/
Saintmarc Bistro & Bar,Restaurant,"7 Fraser St, #01-62/63/64/65 Duo Galleria, Singapore",4.7,84,https://maps.google.com/?cid=15535536476874361198,
Alley on 25,Restaurant,"5 Fraser St, Level 25, Singapore",4.1,404,https://maps.google.com/?cid=10582220327949839597,https://www.hyatt.com/andaz/sinaz-andaz-singapore/dining/alley-on-25?src=nplk-sinaz-lclb-alley-on-25
The Secret Garden By Zeekri,Restaurant,"19 Baghdad St, Singapore",4.6,994,https://maps.google.com/?cid=14168916701860585999,https://www.tsgbyzeekri.com/
ADDA,Indian restaurant,"7500E Beach Rd, #01-201 Diners Building, Singapore",4.3,1477,https://maps.google.com/?cid=14738382631194596683,https://thespiceadda.com/
Anatolia Restaurant SG,Turkish restaurant,"58 Arab St, Singapore",4.8,1813,https://maps.google.com/?cid=14198051886836726,https://anatoliarestaurantsg.com/
Positano Risto,Italian restaurant,"66 Bussorah St, Singapore",4.3,1532,https://maps.google.com/?cid=4259985992500608796,http://positanoristo.com/
Ayasofya Turkish Restaurant,Turkish restaurant,"51 Bussorah St, Singapore",4.7,2968,https://maps.google.com/?cid=16487134899567384094,http://www.ayasofyarestaurant.com.sg/
Cicheti,Pizza restaurant,"52 Kandahar St, Singapore",4.3,1163,https://maps.google.com/?cid=6053710013512217150,https://www.cicheti.com/
Miam Miam French Japanese Cafe Kitchen (Bugis Junction),Restaurant,"200 Victoria St, #02 - 14, Singapore",4.5,3700,https://maps.google.com/?cid=6518767320960470120,https://miammiam.sg/
iSTEAKS @ Suntec City,Steak house,"3 Temasek Blvd, #02-472 / 473, Singapore",4.1,991,https://maps.google.com/?cid=15294732907505781119,http://isteaksdiner.com/
Sichuan Tianfu Restaurant 天府川菜 (Beach Road),Chinese restaurant,"337 Beach Rd, Singapore",4.8,171,https://maps.google.com/?cid=3497082104957454300,http://www.tianfu.com.sg/
Chuan Seng Kway Chap,Restaurant,"270 Queen St, #01-96, Singapore",4.4,34,https://maps.google.com/?cid=1330053331008028228,
